question,option_a,option_b,option_c,option_d,answer,topic
What is a Pandas Series?,A 2D table,A 1D labeled array,A Python list,A dictionary,B,Pandas
How do you create a DataFrame from a dictionary?,pd.Series(dict),pd.DataFrame(dict),pd.Array(dict),pd.Table(dict),B,Pandas
Which method shows the first 5 rows of a DataFrame?,df.tail(),df.head(),df.show(),df.peek(),B,Pandas
How do you select a column named 'age' from DataFrame df?,df[age],df.col('age'),df['age'],df->age,C,Pandas
What does df.shape return?,Number of columns,Number of rows,Rows and columns as tuple,Data types,C,Pandas
Which method drops missing values in a DataFrame?,df.drop(),df.remove(),df.dropna(),df.clean(),C,Pandas
What does df.describe() do?,Shows column names,Drops duplicates,Shows summary statistics,Sorts the DataFrame,C,Pandas
How do you rename columns in a DataFrame?,df.rename(columns={...}),df.columns.rename(...),df.set_columns(...),df.col_rename(...),A,Pandas
Which method merges two DataFrames?,df.concat(),df.merge(),df.join_df(),df.combine(),B,Pandas
What does df.groupby('col').mean() do?,Groups and counts,Groups and sums,Groups and computes mean,Filters by column,C,Pandas
What does plt.show() do?,Saves the figure,Clears the plot,Displays the chart,Sets the title,C,Matplotlib
How do you create a bar chart in Matplotlib?,plt.line(),plt.bar(),plt.scatter(),plt.pie(),B,Matplotlib
Which function adds a title to a Matplotlib plot?,plt.label(),plt.name(),plt.title(),plt.header(),C,Matplotlib
What does plt.xlabel() do?,Sets y-axis label,Sets x-axis label,Sets chart title,Sets legend,B,Matplotlib
How do you save a figure in Matplotlib?,plt.save(),plt.export(),plt.savefig(),plt.write(),C,Matplotlib
What does plt.subplot(1,2,1) mean?,1 row 2 cols plot 1,2 rows 1 col plot 1,1 row 1 col plot 2,2 rows 2 cols plot 1,A,Matplotlib
Which function creates a pie chart?,plt.pie(),plt.circle(),plt.donut(),plt.round(),A,Matplotlib
What does plt.legend() do?,Adds axis labels,Adds a color bar,Adds a legend box,Clears the figure,C,Matplotlib
What does plt.tight_layout() do?,Removes whitespace,Saves the figure,Adjusts subplot spacing,Resizes figure,C,Matplotlib
What does plt.hist() create?,Line chart,Bar chart,Histogram,Pie chart,C,Matplotlib
What is the standard import alias for Seaborn?,sb,sn,sns,sea,C,Seaborn
Which Seaborn function creates a scatter plot with regression line?,sns.scatter(),sns.regplot(),sns.line(),sns.dotplot(),B,Seaborn
What does sns.heatmap() visualize?,Line trends,Correlation matrix as colors,Pie distribution,Histogram bins,B,Seaborn
Which function creates a box plot in Seaborn?,sns.box(),sns.boxplot(),sns.whisker(),sns.range(),B,Seaborn
What does sns.set_style() control?,Chart colors,Plot background style,Font size,Figure size,B,Seaborn
Which Seaborn function creates a bar chart?,sns.bar(),sns.barplot(),sns.column(),sns.barchart(),B,Seaborn
What is the purpose of the hue parameter in Seaborn?,Sets chart size,Sets background,Colors by category,Sets axis range,C,Seaborn
Which function shows distribution of a single variable in Seaborn?,sns.histplot(),sns.scatter(),sns.lineplot(),sns.pieplot(),A,Seaborn
What does sns.pairplot() do?,Plots one variable,Plots pairs of variables,Plots time series,Plots heatmap only,B,Seaborn
Which Seaborn function creates a violin plot?,sns.violin(),sns.violinplot(),sns.vplot(),sns.dist(),B,Seaborn
What does conn.commit() do in MySQL connector?,Closes connection,Saves changes to DB,Runs query again,Opens transaction,B,MySQL
Which method executes a SQL query in Python?,conn.run(),cursor.execute(),db.query(),conn.sql(),B,MySQL
How do you fetch one row from a query result?,cursor.fetchone(),cursor.getone(),cursor.one(),cursor.row(),A,MySQL
What does cursor.fetchall() return?,First row only,Last row only,All rows as a list,Row count only,C,MySQL
Which SQL command inserts a new row?,UPDATE,INSERT INTO,ADD INTO,PUT INTO,B,MySQL
What does %s represent in a MySQL query?,A string only,A placeholder for values,A column name,A table name,B,MySQL
Which SQL command modifies existing data?,DELETE,UPDATE,SELECT,CREATE,B,MySQL
What does AUTO_INCREMENT do in MySQL?,Deletes old rows,Automatically increases ID,Creates a backup,Sets default value,B,MySQL
Which clause filters rows in a SELECT query?,HAVING,ORDER BY,WHERE,LIMIT,C,MySQL
What does PRIMARY KEY ensure in a MySQL table?,Allows duplicate values,Each row has a unique identifier,Connects two tables,Speeds up inserts,B,MySQL
